Average RMSE of model for positive_per_day: 133.95833132010048, epochs: 100, batch_size: 30, data from 2020-04-01\
Average RMSE of model for positive_per_day: 105.05366766919573, epochs: 100, batch_size: 30, all data\
Average RMSE of model for positive_per_day: 147.99478719300726, epochs: 100, batch_size: 50, data from 2020-04-01\
Average RMSE of model for positive_per_day: 90.23445021536101, epochs: 100, batch_size: 50, all data\
Average RMSE of model for positive_per_day: 154.8075935378803, epochs: 200, batch_size: 1, data from 2020-04-01\
Average RMSE of model for positive_per_day: 94.00199058720536, epochs: 200, batch_size: 1, all data\
Average RMSE of model for positive_per_day: 188.21135800493553, epochs: 200, batch_size: 5, data from 2020-04-01\
Average RMSE of model for positive_per_day: 98.29799479695673, epochs: 200, batch_size: 5, all data\
Average RMSE of model for positive_per_day: 143.4002051896063, epochs: 200, batch_size: 10, data from 2020-04-01\
Average RMSE of model for positive_per_day: 116.31386669416375, epochs: 200, batch_size: 10, all data\
Average RMSE of model for positive_per_day: 162.88216778469337, epochs: 200, batch_size: 15, data from 2020-04-01\
Average RMSE of model for positive_per_day: 113.51309780793059, epochs: 200, batch_size: 15, all data\
Average RMSE of model for positive_per_day: 191.4592281951471, epochs: 200, batch_size: 30, data from 2020-04-01\
Average RMSE of model for positive_per_day: 92.21522147608695, epochs: 200, batch_size: 30, all data\
Average RMSE of model for positive_per_day: 194.68756384522604, epochs: 200, batch_size: 50, data from 2020-04-01\
Average RMSE of model for positive_per_day: 110.71350872750689, epochs: 200, batch_size: 50, all data\
Average RMSE of model for positive_per_day: 144.93211899540606, epochs: 500, batch_size: 1, data from 2020-04-01\
Average RMSE of model for positive_per_day: 83.65286787588548, epochs: 500, batch_size: 1, all data\
Average RMSE of model for positive_per_day: 154.60464416061615, epochs: 500, batch_size: 5, data from 2020-04-01\
Average RMSE of model for positive_per_day: 96.80523526334402, epochs: 500, batch_size: 5, all data\
Average RMSE of model for positive_per_day: 177.74549720808008, epochs: 500, batch_size: 10, data from 2020-04-01\
Average RMSE of model for positive_per_day: 102.3740187629095, epochs: 500, batch_size: 10, all data\
Average RMSE of model for positive_per_day: 184.3405183547788, epochs: 500, batch_size: 15, data from 2020-04-01\
Average RMSE of model for positive_per_day: 119.28048073397116, epochs: 500, batch_size: 15, all data\
Average RMSE of model for positive_per_day: 181.70093089610415, epochs: 500, batch_size: 30, data from 2020-04-01\
Average RMSE of model for positive_per_day: 156.98819993075207, epochs: 500, batch_size: 30, all data\
